0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Team
0,3,6,6,6,9,12,12,15,18,21,21,21,24,25,28,29,29,30,30,30,30,33,36,36,36,36,39,42,43,43,46,46,46,46,47,48,51,54,Caen
0,3,4,7,7,7,7,10,10,13,16,19,19,19,19,20,21,22,23,24,27,28,29,32,35,36,39,40,41,41,44,44,44,44,44,45,48,48,48,Nantes
0,3,6,6,9,10,11,12,15,15,15,15,15,15,15,16,19,20,21,21,21,22,23,23,26,29,29,29,32,32,33,33,33,36,36,36,36,36,39,Reims
0,3,4,7,8,8,11,12,15,18,21,22,22,22,23,26,27,30,31,31,34,34,34,37,37,37,37,37,38,39,39,42,45,46,49,50,50,50,50,Angers
0,3,4,7,7,7,7,7,10,10,10,10,13,14,14,15,18,18,19,22,22,25,25,28,28,31,34,35,38,39,39,40,43,43,43,43,44,47,50,Bastia
0,0,0,0,3,6,9,9,10,13,14,15,16,16,19,19,19,19,19,19,20,21,24,27,30,31,31,31,32,32,35,38,39,39,42,43,43,44,44,Guingamp
0,1,2,2,2,5,8,11,11,14,15,16,17,20,20,21,22,25,25,26,27,27,27,30,30,31,31,34,37,38,39,39,39,42,43,43,43,43,46,Lorient
0,0,0,3,3,6,7,8,8,8,9,12,15,15,18,19,22,23,24,25,26,29,30,31,34,34,35,36,37,38,39,39,39,40,40,41,44,47,48,Marseille
0,0,0,0,1,1,1,1,4,4,5,8,9,12,15,18,18,19,22,22,22,22,22,25,25,26,29,32,35,36,36,36,37,37,40,43,46,49,49,Montpellier
0,0,3,6,9,12,13,14,15,16,16,17,17,20,21,22,22,23,24,27,28,31,34,34,34,35,38,38,41,44,45,48,51,51,51,52,52,52,52,Rennes
0,3,4,5,5,8,8,11,12,13,14,17,20,20,23,24,25,28,31,32,33,36,39,39,42,45,46,49,50,51,52,55,55,55,58,59,62,62,65,Monaco
0,0,1,4,7,10,13,16,16,16,19,19,22,22,22,25,25,26,26,29,29,32,33,33,36,39,40,41,41,42,42,45,48,51,54,57,58,58,58,St Etienne
0,0,1,2,5,6,7,7,10,10,11,14,14,17,18,18,18,21,22,23,26,29,30,33,33,33,36,37,37,38,38,39,42,43,43,44,47,50,50,Bordeaux
0,0,1,2,5,6,7,7,7,10,11,11,12,13,14,14,17,20,23,24,25,25,25,26,29,30,31,34,34,37,40,43,46,49,52,53,56,57,60,Lille
0,3,6,9,12,13,14,17,20,23,26,29,32,35,38,41,42,45,48,51,54,57,60,63,66,69,70,73,73,74,77,77,80,83,86,87,90,93,96,Paris SG
0,1,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,6,7,8,8,8,11,11,11,11,14,14,14,14,14,14,14,14,17,17,17,17,18,Troyes
0,1,4,4,7,8,9,12,12,15,16,19,22,25,25,25,26,26,26,26,29,29,30,30,33,36,39,39,42,45,46,49,52,55,56,59,62,65,65,Lyon
0,0,1,4,5,5,8,11,14,14,17,17,18,21,24,24,25,25,26,29,30,33,36,36,39,39,40,41,41,44,47,50,50,53,54,57,57,60,63,Nice
0,3,3,4,4,5,6,7,7,8,8,8,9,9,9,12,15,15,16,17,20,20,20,20,20,21,21,22,22,23,26,26,29,32,33,33,34,37,40,Toulouse
0,1,1,1,1,1,1,2,2,3,3,6,9,12,15,16,19,20,21,24,25,26,26,26,26,27,27,28,29,30,33,33,33,34,34,37,37,37,37,Gaz. Ajaccio