1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,team
12,17,19,20,20,20,16,15,14,14,14,14,15,12,14,16,17,18,18,18,15,15,16,11,7,8,10,10,10,10,11,12,13,13,13,11,Angers-1617
1,3,9,12,8,7,7,9,9,9,8,12,7,8,9,6,7,7,7,5,5,5,8,7,9,6,6,7,7,7,9,9,9,10,10,8,Bastia-1617
3,1,3,1,1,2,3,8,10,11,11,7,10,11,13,15,16,16,15,11,12,12,14,10,11,9,8,5,5,4,3,4,4,4,3,14,Bordeaux-1617
4,4,10,13,13,14,17,18,16,16,18,15,13,13,10,13,11,9,9,6,6,6,9,9,6,7,9,13,13,13,13,14,14,14,14,16,Caen-1617
5,5,7,9,10,11,8,10,11,12,12,8,5,7,12,14,14,14,14,15,16,16,12,13,13,13,14,14,14,14,14,13,12,12,12,10,Dijon-1617
18,19,6,6,6,5,5,5,3,4,4,5,8,9,7,9,10,11,11,7,7,7,5,8,10,12,12,12,11,11,10,10,10,8,9,7,Guingamp-1617
13,18,16,15,15,15,14,14,15,15,16,17,17,17,16,12,13,13,13,14,14,14,15,15,15,15,17,17,16,16,17,16,16,16,17,12,Lille-1617
14,8,13,16,17,17,18,20,20,20,17,18,18,18,17,18,15,15,16,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Lorient-1617
11,16,5,5,5,4,1,1,2,1,1,1,1,2,3,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,Lyon-1617
8,6,11,7,7,6,6,6,4,3,3,4,4,6,6,8,9,10,10,12,9,9,6,5,8,11,7,8,9,9,7,7,7,5,5,6,Marseille-1617
6,14,15,8,9,10,13,16,17,19,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,18,18,18,18,18,18,Metz-1617
2,13,17,10,11,8,10,11,12,13,13,9,11,5,5,5,6,6,6,4,4,4,4,4,5,3,3,4,4,6,8,8,8,9,8,5,Monaco-1617
7,2,4,2,2,1,2,7,8,8,9,6,9,10,8,10,5,5,5,9,11,11,13,16,16,16,15,16,17,17,15,15,15,15,16,13,Montpellier-1617
9,15,18,18,19,19,20,19,19,18,15,16,16,16,11,7,8,8,8,10,8,8,10,14,14,14,13,9,8,5,4,5,5,6,6,4,Nancy-1617
15,9,14,17,18,18,19,13,13,10,10,13,14,15,18,19,19,19,19,19,19,19,18,18,18,18,16,15,15,15,16,17,17,17,15,17,Nantes-1617
10,7,12,14,14,12,9,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,Nice-1617
19,12,8,11,12,13,11,3,5,5,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,5,3,3,3,4,3,Paris SG-1617
16,10,1,4,4,9,12,12,6,6,6,10,6,4,4,4,4,4,4,8,10,10,7,6,4,5,5,6,6,8,6,6,6,7,7,15,Rennes-1617
20,20,20,19,16,16,15,17,18,17,19,19,19,19,19,17,18,17,17,17,18,17,17,17,17,17,18,18,18,18,19,19,19,19,19,19,St Etienne-1617
17,11,2,3,3,3,4,4,7,7,7,11,12,14,15,11,12,12,12,13,13,13,11,12,12,10,11,11,12,12,12,11,11,11,11,9,Toulouse-1617
13,19,20,20,17,17,17,16,16,17,17,16,14,13,10,10,5,8,8,6,5,6,6,8,8,10,10,11,10,10,7,9,7,7,9,6,Amiens-1718
8,8,16,17,18,18,18,18,18,18,18,19,20,20,20,19,19,19,19,19,19,17,16,16,16,16,14,13,11,11,9,10,10,11,11,11,Angers-1718
14,12,4,6,4,4,4,3,3,3,4,4,6,4,4,3,4,7,7,8,8,5,5,5,5,5,5,5,5,5,3,3,4,3,4,4,Bordeaux-1718
15,13,10,12,14,14,13,12,13,13,13,11,12,15,13,13,13,14,14,14,14,14,14,14,14,14,13,12,14,14,14,15,16,16,17,18,Caen-1718
18,16,17,18,11,11,11,10,11,11,10,6,8,8,7,7,8,5,4,3,3,3,4,4,4,3,3,3,3,3,5,6,8,8,7,10,Dijon-1718
19,17,12,13,15,16,16,17,17,16,16,15,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,17,17,14,15,16,17,Guingamp-1718
9,9,7,11,13,13,12,14,15,15,15,18,18,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Lille-1718
2,1,1,1,2,2,2,2,2,2,3,2,3,3,3,4,6,4,6,7,7,9,9,10,10,9,9,9,9,7,8,5,6,5,3,3,Lyon-1718
10,10,8,4,6,8,9,5,6,7,8,9,7,7,6,6,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,5,5,Marseille-1718
3,5,14,15,16,15,14,13,14,14,14,14,16,16,17,17,17,17,17,17,17,16,17,17,17,17,15,15,15,15,15,16,17,18,15,16,Metz-1718
1,4,13,14,8,9,6,7,4,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Monaco-1718
4,6,15,16,20,20,20,19,19,19,19,20,19,19,16,16,16,16,16,16,16,18,18,18,18,18,17,17,17,18,19,19,19,19,19,19,Montpellier-1718
16,14,11,10,10,10,10,11,7,8,5,7,5,6,8,8,9,6,5,5,6,7,7,6,6,6,7,7,7,8,10,8,5,6,6,7,Nantes-1718
11,18,18,8,9,5,5,6,8,9,11,12,10,10,14,15,15,11,11,12,9,10,10,9,9,8,6,6,6,6,6,7,9,9,10,9,Nice-1718
5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Paris SG-1718
12,11,9,5,5,6,7,8,9,10,6,5,4,5,5,5,7,10,10,11,13,13,12,12,13,13,16,16,16,16,16,13,13,14,12,12,Rennes-1718
6,3,3,3,3,3,3,4,5,6,9,10,11,11,12,11,11,12,12,9,10,11,11,11,11,12,12,14,12,12,11,11,12,12,13,13,St Etienne-1718
20,20,19,19,19,19,19,20,20,20,20,17,15,14,15,14,14,15,15,15,15,15,15,15,15,15,18,18,18,17,18,18,18,17,18,15,Strasbourg-1718
17,15,5,7,7,7,8,9,10,5,7,8,9,9,11,9,10,9,9,10,11,8,8,7,7,7,8,8,8,9,12,12,11,10,8,8,Toulouse-1718
7,7,6,9,12,12,15,15,12,12,12,13,13,12,9,12,12,13,13,13,12,12,13,13,12,11,11,10,13,13,13,14,15,13,14,14,Troyes-1718
12,16,19,9,6,8,10,12,9,9,10,12,12,13,15,15,15,17,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,Amiens-1819
2,6,11,13,12,12,12,16,16,17,17,18,18,18,18,19,19,14,13,13,14,14,14,13,12,9,9,10,11,11,11,13,13,15,15,16,Angers-1819
8,9,17,17,18,18,18,11,7,7,7,7,8,9,9,10,11,9,10,11,11,13,13,12,10,12,11,11,10,9,9,9,7,7,9,9,Bordeaux-1819
13,17,20,20,20,20,20,18,18,15,15,15,14,15,14,14,14,15,17,17,18,19,19,18,19,19,19,19,20,20,20,20,19,20,18,18,Caen-1819
14,18,8,7,9,11,11,15,15,16,16,19,19,19,20,17,17,18,18,18,15,15,15,16,16,16,16,16,16,16,16,16,15,14,12,12,Dijon-1819
15,19,9,12,14,14,14,13,13,14,9,10,7,8,8,9,9,11,12,9,10,12,12,14,14,14,14,14,14,13,13,15,16,16,16,14,Guingamp-1819
3,7,12,5,4,5,2,4,5,5,5,5,6,6,6,6,7,5,6,6,6,5,4,6,6,6,7,7,7,8,8,8,9,9,7,4,Lille-1819
9,4,5,1,1,1,3,2,4,3,3,3,3,3,3,4,2,2,2,4,4,4,3,3,4,2,2,2,3,4,4,2,2,2,2,2,Lyon-1819
1,1,4,10,13,13,13,7,3,4,4,4,4,4,4,3,4,7,7,7,7,8,7,5,5,4,4,4,2,2,2,3,5,5,6,7,Marseille-1819
16,10,13,14,15,15,15,17,17,18,18,20,20,20,17,18,18,19,19,20,20,20,20,20,18,18,18,18,18,18,18,19,20,18,19,19,Monaco-1819
4,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,3,4,3,3,3,3,6,7,7,7,6,6,6,3,3,4,6,6,5,6,Montpellier-1819
5,8,16,19,19,19,19,20,20,19,19,16,15,16,16,16,16,16,15,14,16,16,16,15,15,15,15,15,15,15,15,11,11,11,13,13,Nantes-1819
6,14,18,18,16,16,16,19,19,20,20,17,16,12,11,12,10,12,9,10,9,9,10,11,13,10,10,8,8,7,7,6,4,3,3,5,Nice-1819
18,12,3,4,5,7,7,8,10,11,12,13,13,14,12,13,13,13,14,15,13,11,11,10,11,13,13,13,13,14,14,12,12,12,11,11,Nimes-1819
10,5,6,6,8,3,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Paris SG-1819
11,15,7,11,11,10,9,10,11,12,13,9,10,7,7,8,6,8,8,8,8,6,5,4,3,5,5,5,5,6,6,7,8,8,10,10,Reims-1819
17,11,14,15,7,6,5,5,8,8,8,8,9,10,10,11,12,10,11,12,12,10,9,9,8,8,8,9,9,10,10,10,10,10,8,8,Rennes-1819
7,3,2,3,3,4,6,6,6,6,6,6,5,5,5,5,5,3,4,2,2,2,2,2,2,3,3,3,4,5,5,5,3,4,4,3,St Etienne-1819
19,13,15,16,17,17,17,14,14,10,11,11,11,11,13,7,8,6,5,5,5,7,8,8,9,11,12,12,12,12,12,14,14,13,14,15,Strasbourg-1819
20,20,10,8,10,9,8,9,12,13,14,14,17,17,19,20,20,20,20,19,19,18,18,19,20,20,20,20,19,19,19,18,18,19,20,20,Toulouse-1819