team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Toulouse-1617,1,4,5,5,6,8,9,9,10,11,11,11,11,14,17,17,18,18,18,18,19,22,23,24,27,27,28,28,29,30,31,32,33,33,34,34
St Etienne-1617,0,0,1,2,3,5,5,5,6,7,8,9,9,11,14,14,15,15,15,15,18,21,21,21,22,22,23,23,23,23,24,25,26,26,26,26
Rennes-1617,1,4,4,5,5,6,7,10,10,11,11,14,17,19,19,20,20,20,20,20,21,25,26,29,29,29,30,31,31,34,35,36,37,38,38,38
Paris SG-1617,1,2,2,3,3,7,10,10,11,12,15,18,18,21,21,22,25,25,25,26,27,28,29,29,30,30,33,33,34,34,37,37,40,40,43,43
Nice-1617,1,1,2,3,4,8,11,14,14,17,17,18,21,24,24,25,26,27,28,31,32,35,35,35,36,36,37,40,40,41,42,45,45,45,46,46
Nantes-1617,1,1,1,1,2,4,7,7,10,10,10,10,11,11,11,11,14,14,15,15,16,19,20,21,22,23,24,25,25,26,26,27,27,30,30,30
Nancy-1617,0,0,1,1,2,4,5,5,6,9,9,10,11,15,18,18,19,20,20,21,22,22,22,23,24,27,30,31,34,35,36,37,37,38,41,41
Montpellier-1617,3,3,6,7,8,8,8,9,10,10,13,13,14,17,17,20,20,20,20,20,21,21,21,21,22,23,23,23,24,27,27,27,28,28,29,29
Monaco-1617,0,0,3,3,6,7,7,7,8,9,12,13,16,19,19,19,20,20,23,24,25,28,28,28,31,32,32,32,33,33,33,34,34,37,40,40
Metz-1617,0,1,4,4,5,5,5,5,5,6,7,7,8,8,8,8,11,12,15,15,16,17,18,18,21,21,22,22,23,24,25,26,26,26,26,26
Marseille-1617,1,1,4,5,6,8,9,12,13,14,14,15,15,17,17,18,18,18,18,21,22,25,26,26,26,29,30,30,31,34,35,35,38,38,39,39
Lyon-1617,0,3,4,5,6,10,13,13,16,17,20,20,20,20,23,23,26,27,30,30,30,33,34,37,37,40,40,41,43,43,43,43,43,43,44,44
Lorient-1617,1,1,1,1,2,4,4,4,5,8,8,9,10,12,12,15,15,15,15,15,16,16,16,16,16,16,16,19,20,20,21,22,23,24,24,24
Lille-1617,0,1,2,2,3,5,6,6,7,8,9,9,10,13,16,17,17,17,18,18,19,21,22,22,22,22,23,24,24,24,27,27,27,27,30,30
Guingamp-1617,0,3,4,5,6,8,9,12,12,13,13,13,14,17,17,18,18,18,21,21,22,25,25,25,26,27,28,29,30,31,31,32,35,35,38,38
Dijon-1617,1,2,3,4,5,8,8,8,9,10,13,14,14,14,14,15,16,16,17,17,18,22,23,24,25,25,26,26,27,27,30,31,31,32,33,33
Caen-1617,1,1,2,3,3,4,5,6,7,7,10,11,12,15,15,18,19,20,21,22,23,23,24,27,27,27,27,27,28,29,29,29,30,31,31,31
Bordeaux-1617,3,3,6,7,7,8,8,8,9,10,13,13,13,14,14,14,15,16,19,20,21,21,24,24,27,28,31,31,34,35,36,37,38,41,41,41
Bastia-1617,1,1,2,5,6,8,8,9,10,11,11,14,14,15,18,19,19,20,21,22,23,23,26,26,28,29,30,31,32,32,33,34,34,35,36,36
Angers-1617,0,0,0,1,1,5,6,7,8,9,10,10,13,14,14,14,14,15,15,18,19,21,24,27,27,27,28,29,30,30,30,30,31,31,32,32
Troyes-1718,1,2,3,3,4,4,5,8,9,9,9,10,11,14,15,15,16,17,17,20,20,20,21,22,24,25,26,26,26,26,27,27,30,30,30,30
Toulouse-1718,1,4,4,5,6,7,7,8,11,11,12,12,13,13,17,18,19,19,19,20,23,24,25,26,27,27,28,29,29,29,29,32,34,37,38,39
Strasbourg-1718,0,1,1,2,2,2,2,3,4,4,7,8,11,12,14,14,15,16,16,18,19,19,20,20,21,21,21,22,23,23,24,24,27,27,30,30
St Etienne-1718,3,4,7,7,8,9,10,10,10,10,11,11,12,13,16,16,16,17,20,20,21,22,22,23,23,24,24,27,27,30,31,31,31,31,32,35
Rennes-1718,1,2,5,6,6,7,8,8,9,12,13,16,16,17,18,18,18,18,18,19,20,21,21,21,22,22,22,23,23,25,28,28,29,32,33,34
Paris SG-1718,3,4,7,10,11,12,13,16,17,18,21,21,24,24,26,29,29,32,32,36,39,39,40,43,46,47,50,54,54,54,57,58,58,58,59,60
Nice-1718,0,1,4,4,7,8,8,8,9,9,9,12,12,12,13,14,17,17,18,21,22,23,24,25,26,29,30,31,31,32,33,34,34,35,38,38
Nantes-1718,1,2,3,4,5,6,6,9,9,12,12,15,15,16,17,18,21,22,22,22,23,24,27,28,28,28,29,30,30,30,33,36,36,37,38,41
Montpellier-1718,1,1,1,1,2,2,3,3,4,4,5,6,7,10,12,13,14,15,16,17,17,18,18,18,19,22,22,22,22,23,23,24,24,25,25,26
Monaco-1718,1,1,2,5,5,8,8,11,12,15,16,19,19,19,23,23,23,26,27,33,34,35,35,38,39,40,40,41,41,45,45,45,46,47,48,48
Metz-1718,1,1,2,3,4,5,6,6,6,7,7,7,8,8,9,12,13,14,14,17,18,18,18,19,20,23,23,24,25,25,25,26,26,29,29,29
Marseille-1718,1,2,5,5,5,6,9,9,10,11,11,14,14,17,18,21,21,22,22,24,25,28,28,31,31,31,32,33,33,34,35,38,38,39,39,42
Lyon-1718,3,4,7,8,11,12,13,13,14,14,17,17,18,18,18,18,21,21,21,22,22,23,23,23,26,26,27,28,31,31,34,35,38,41,41,41
Lille-1718,1,2,2,3,4,5,5,5,6,6,6,6,7,7,8,8,8,8,8,11,12,12,12,12,13,13,16,17,18,18,19,19,22,22,25,25
Guingamp-1718,1,2,2,3,3,4,4,5,6,6,7,7,8,8,9,12,13,14,14,15,16,17,18,18,19,19,20,20,21,24,25,28,28,28,28,29
Dijon-1718,1,1,1,4,5,6,7,8,9,10,13,13,14,17,18,18,21,22,25,26,27,27,28,28,32,33,33,33,33,33,33,34,34,37,37,40
Caen-1718,1,2,2,3,4,5,6,6,7,7,10,10,10,13,14,15,16,16,16,18,19,20,21,21,21,24,25,25,25,25,25,26,27,28,28,29
Bordeaux-1718,1,4,4,7,8,9,12,12,12,13,14,14,17,17,20,20,20,21,21,22,25,25,28,28,29,30,31,32,33,36,36,37,40,40,41,41
Angers-1718,1,1,1,2,3,4,4,4,5,5,5,5,6,6,9,10,10,11,11,15,18,19,19,20,21,24,25,28,28,31,32,32,32,32,33,33
Amiens-1718,0,0,0,3,3,4,5,5,5,6,7,8,11,14,16,19,20,21,22,23,23,24,24,25,25,25,25,28,29,32,32,35,36,36,39,39
Toulouse-1819,0,3,4,4,5,6,7,7,7,7,8,8,8,8,8,8,9,10,13,14,15,16,16,16,16,19,19,20,21,22,23,23,24,25,26,26
Strasbourg-1819,1,2,2,2,3,3,6,6,9,9,10,11,12,12,18,18,21,22,22,23,23,23,24,24,24,24,24,24,27,28,28,29,30,30,30,31
St Etienne-1819,3,4,5,6,6,6,9,10,11,11,12,15,16,17,18,19,22,22,25,25,26,26,30,31,31,32,32,32,34,35,35,38,38,39,42,43
Rennes-1819,1,2,2,5,6,7,9,9,10,10,11,12,13,13,14,14,17,17,18,19,20,23,23,26,26,27,28,29,29,31,31,31,35,38,38,39
Paris SG-1819,3,3,4,4,7,8,11,14,17,18,19,19,22,22,22,22,23,24,27,28,29,32,33,39,40,40,43,44,44,45,48,48,50,50,53,53
Nice-1819,0,1,2,3,4,4,4,4,4,5,8,9,12,13,14,15,15,18,18,21,21,22,22,22,25,26,29,30,33,34,35,38,39,39,39,42
Nantes-1819,1,1,1,1,2,2,2,2,5,5,8,9,9,10,11,11,12,13,15,15,16,19,20,21,22,22,23,24,25,26,30,31,32,32,32,33
Montpellier-1819,3,4,5,6,7,10,14,14,17,17,18,19,20,20,20,20,21,23,24,25,25,25,26,27,27,31,32,32,35,36,36,36,38,39,39,40
Monaco-1819,1,2,3,3,4,5,5,5,5,6,6,6,7,10,10,10,11,12,12,12,13,13,16,19,19,20,21,21,21,22,22,22,25,25,28,28
Marseille-1819,3,3,3,3,4,5,9,12,12,13,14,17,18,19,20,20,20,21,22,22,22,25,28,28,31,32,32,35,35,36,36,37,38,38,39,40
Lyon-1819,3,3,6,7,7,8,11,11,14,15,18,18,19,19,19,22,23,23,23,24,25,26,29,29,32,32,33,34,34,35,38,38,41,41,42,42
Lille-1819,1,2,5,6,6,9,10,11,11,12,13,14,14,17,18,18,21,21,22,22,25,26,27,27,28,29,30,31,32,33,34,35,35,38,41,42
Guingamp-1819,0,3,3,3,4,5,6,6,7,10,10,13,13,14,15,15,16,16,19,19,19,20,20,22,23,23,24,24,27,28,28,28,29,29,32,32
Dijon-1819,0,3,4,4,4,5,5,5,5,6,6,6,7,7,11,11,11,12,13,16,16,19,19,20,21,22,23,24,24,25,28,29,30,33,33,33
Caen-1819,0,1,1,1,1,1,5,5,6,7,8,9,10,11,11,11,12,12,13,14,14,15,17,17,18,19,19,19,20,21,22,23,24,27,28,28
Bordeaux-1819,1,1,2,2,2,3,7,10,10,11,11,12,13,13,14,14,17,17,18,19,19,19,22,24,24,26,27,28,31,32,33,36,36,36,36,36
Angers-1819,1,2,3,4,4,5,5,5,5,6,7,8,8,9,10,10,13,14,15,16,19,19,22,23,26,26,27,27,27,28,28,29,29,29,29,30
Amiens-1819,0,1,4,5,5,5,6,9,9,9,9,9,10,10,11,11,11,13,14,15,16,17,17,20,20,21,22,23,24,25,26,27,28,29,29,32
Reims-1819,0,3,3,4,5,6,7,8,8,8,11,11,14,15,16,19,19,19,22,22,25,26,29,30,30,31,32,32,33,34,34,35,35,35,35,38
Nimes-1819,1,4,5,5,5,6,7,8,8,8,8,9,10,13,13,13,13,13,14,17,20,20,23,23,23,24,24,24,26,28,29,30,30,33,33,36